country,GDP,K,GFCF
Anguilla,0,865,0
Antigua and Barbuda,1230,6257,371.922
American Samoa,0,0,0
Aruba,2584.46,8909,715.292
Bahamas,8149,45744,2597.62
Bahrain,32788.12,103503,6392.99
Barbados,4224.85,14037,778.214
Belize,1604.5,5994,218.1
British Virgin Islands,0,3850,0
Cabo Verde,1888.12,7138,678.058
Comoros,657.3,1426,81.514
Cook Islands,0,0,0
Cuba,68233.9,174919,8294.53
Dominica,504.82,2028,108.71
Dominican Republic,60613.63,202173,8754.67
Fiji,4027.91,11571,825.464
French Polynesia,3447.54,22002,0
Grenada,834.07,4536,144.579
Guam,0,0,0
Guinea-Bissau,858.65,2029,64.251
Guyana,3075.73,8076,766.504
Haiti,8459.33,28269,0
Jamaica,14362.26,70711,2823.04
Kiribati,168.95,595,64.257
Maldives,2299.84,7443,929.43
Marshall Islands,175,766,0
Mauritius,11938.4,44218,2528.27
"Micronesia, Fed. Sts",335,1348,118.901
Montserrat,0,158,0
Nauru,0,0,0
Netherlands Antilles,0,0,0
New Caledonia,2682.35,17113,882.492
Niue,0,0,0
Northern Mariana Islands,0,0,0
Palau,247.04,780,0
Papua New Guinea,15289.37,47018,2772.52
Puerto Rico,101495.811,259030,9854.31
Samoa,694.38,1930,0
Sao Tome and Principe,310.69,2123,129.576
Seychelles,1268.02,6235,0
Singapore,297941.261,1126584,77176.06
Solomon Islands,1096.4,3693,146.605
St. Kitts and Nevis,742.96,4112,214.704
St. Lucia,1332.22,3362,348.568
St. Vincent ,725.56,2645,175.828
Suriname,5230,9620,1300.12
Timor-Leste,1615,12524,1044.75
Tonga,466.26,1303,154.189
Trinidad and Tobago,24640.84,68684,2402.13
Tuvalu,38.14,123,0
Vanuatu,834.76,2810,219.009
Virgin Islands (U.S.),1996,5344,0
