country,share1,axfin_p,axfin_r
Antigua and Barbuda,0.0103,0.153,0.153
Belize,0.0321,,
Dominica,0.038,0.44,0.44
Fiji,,0.6,0.6
Guinea-Bissau,,0.0002,0.0002
Guyana,0.045,0.68,0.68
Kiribati,,0,0
Maldives,,0.55,0.55
Marshall Islands,0.0107,0.05,0.05
"Micronesia, Fed. Sts.",,0.197,0.197
Papua New Guinea,,0.1438,0.1438
St. Lucia,0.0523,0.35,0.35
St. Vincent and the Grenadines,0.203,0.206,0.206
Seychelles,,0.94,0.94
Solomon Islands,,0.26,0.26
Timor-Leste,,0.62,0.62
Tonga,,0.008,0.008
Trinidad and Tobago,0.049,,
Vanuatu,,0.19,0.19
